મુખપૃષ્ઠ	Main Page
Country data Scotland	Country data Scotland
Country data Bermuda	Country data Bermuda
Ordinal	Ordinal
Limited overs matches	Single-innings cricket match
WikiProjectBannerShell	WikiProject banner shell
Grading scheme	Grading scheme
Assessment Class Summary	Assessment Class Summary
Category class	Category class
Cat in use	Cat in use
Category class/column	Category class/column
Articles by Quality/down	Articles by Quality/down
Articles by Quality/total	Articles by Quality/total
Articles by Quality/up	Articles by Quality/up
Importance scheme	Importance scheme
Category importance	Category importance
Cat priority	Cat priority
Importance/icon	Importance/icon
Articles by Quality and Importance/entry	Articles by Quality and Importance/entry
Articles by Quality and Importance/row	Articles by Quality and Importance/row
ડાર્ટ 	Dart 
ચરબી	Fat
Cookbook	Cookbook
સલીમ સુલેમાન	Salim–Sulaiman
ભારતીય વ્યક્તિત્વ	Indian people
Help pages header	Help pages header
HotCat	HotCat
TOC left	TOC left
HotCat topicon	HotCat topicon
Usbktop	Usbktop
Usbk	Usbk
Tlu	Tlu
વિકિપીડિયા સ્ક્રિપ્ટ	Wikipedia scripts
Allow wrap	Allow wrap
સરદાર પટેલ સ્મારક ભવન	Sardar Vallabhbhai Patel National Memorial
કુમારપાળ	Kumarapala 
અશ્વિની ભટ્ટ	Ashwini Bhatt
ભારતીય કાયદો	Law in India
સેપ્ટ યુનિવર્સિટી	CEPT University
All articles with dead external links	All articles with dead external links
Single namespace	Single namespace
Incorrect namespace	Incorrect namespace
Substitution	Substitution
Subst	Subst
CatTrack	CatTrack
Red	Red
Articles with invalid date parameter in template	Articles with invalid date parameter in template
Polluted category	Polluted category
TOC top	TOC top
TOC bottom	TOC bottom
Articles with dead external links	Articles with dead external links
Random page in category	Random page in category
Empty category	Possibly empty category
Backlog sub-categories	Backlog subcategories
હિંદુ દેવતા	Hindu deities
ગુજરાતી વ્યક્તિત્વ	Gujarati people
ભારતીય મહિલા ગાયકો	Indian female singers
અમદાવાદની ગુફા	Amdavad ni Gufa
Infobox building	Infobox building
Infobox historic site	Infobox historic site
Infobox windmill	Infobox windmill
કેશુભાઈ પટેલ	Keshubhai Patel
રજનીકાંત	Rajinikanth
પોપ ગાયક	Pop singers
ભારતીય બેડમિંટન ખેલાડી	Indian badminton players
ઓલમ્પિક પદક વિજેતા	Olympic medalists
પદ્મભૂષણ પુરસ્કાર વિજેતા	Recipients of the Padma Bhushan
Pp-semi-vandalism	Pp-vandalism
ડેન્ગ્યુ	Dengue fever
Infobox3cols	Infobox3cols
ગુજરાતી ચલચિત્ર	Gujarati-language films
Auto italic title	Auto italic title
Film date	Film date
ભારત રત્ન પુરસ્કારના વિજેતા	Recipients of the Bharat Ratna
અંગ્રેજી ભાષાના ગાયકો	English-language singers
૧૦ લાખથી વધુ વસ્તીવાળા ભારતના શહેરો	Million-plus agglomerations in India
વારાણસી જિલ્લો	Varanasi district
ગાયિકા	Female singers
ભારતના રાજ્યો અને કેન્દ્રશાસિત પ્રદેશોની રાજધાનીઓ	State and Union Territory capitals of India
માહિતીચોકઠું ચૂંટણી	Infobox election
ગુજરાત વિધાનસભા ચૂંટણી, ૨૦૧૨	2012 Gujarat Legislative Assembly election
ભારતની બેંકો	Banks of India
પ્રાચીન ભારત	Ancient India
સિવિલ હોસ્પિટલ, અમદાવાદ	Ahmedabad Civil Hospital
નવિન પટનાયક	Naveen Patnaik
ઓરિસ્સાના મુખ્યમંત્રીઓ	Chief Ministers of Odisha
ઓએસઆઈ મોડેલ	OSI model
બેંક	Banks
Wikiversity	Wikiversity
Infobox treaty	Infobox treaty
Country data British Empire	Country data British Empire
Lang-ru	Lang-ru
Lang-de	Lang-de
Infobox medal templates	Infobox medal templates
Bxt	Bxt
Height	Height
RUS	RUS
BSE Sensex	BSE Sensex
Bombay Stock Exchange	Bombay Stock Exchange
Jnanpith Award	Jnanpith Award
Larger	Larger
હાસ્ય સાહિત્યકાર	Humorists
સમાજ સેવક	Social workers
હરણ	Deer
વિશાલ-શેખર	Vishal–Shekhar
Fajrbot	Fajrbot
Mojo title	Mojo title
Bollywood	Indian film list
Campaignbox Indo-Pakistani Wars	Campaignbox Indo-Pakistani Wars
Apple	Apple
Books-inline	Books-inline
Category-inline	Category-inline
Commons-inline	Commons-inline
Sister-inline	Sister-inline
યુનિવર્સિટી	Universities
ઓક્સફોર્ડ યુનિવર્સિટી	University of Oxford
ઈજનેરી કૉલેજ	Engineering universities and colleges in India
ડૉ. સર્વપલ્લી રાધાકૃષ્ણન	Sarvepalli Radhakrishnan
શંકર દયાલ શર્મા	Shankar Dayal Sharma
ઝૈલસિંઘ	Zail Singh
Computer language user templates	Computer language user templates
Country data Saudi Arabia	Country data Saudi Arabia
IsValidPageName	IsValidPageName
Country data Mauritius	Country data Mauritius
ભારતના રાષ્ટ્રપતિઓની યાદી	List of Presidents of India
Lang-el	Lang-el
Philadelphia weatherbox	Philadelphia weatherbox
When	When
Clarify	Clarify
Use mdy dates	Use mdy dates
હિન્દી ચલચિત્ર	Indian films
IPA-hns	IPA-hns
પોલેંડબોલ	Polandball
કુદરતી રચના	Landforms
User ru	User ru
User ru-3	User ru-3
User en-N	User en-N
સરદાર વલ્લભભાઈ પટેલ આંતરરાષ્ટ્રીય હવાઈ મથક	Sardar Vallabhbhai Patel International Airport
Politics of India	Politics of India
Asia topic	Asia topic
Politics of Asia templates	Politics of Asia templates
Infobox high court	Infobox high court
Bibleref2	Bibleref2
Bibleref2c	Bibleref2c
Bibleref2c-nb	Bibleref2c-nb
Circa	Circa
ભારત રત્ન	Bharat Ratna
ઉદ્યોગપતિ	Industrialists
ભારતના અર્થશાસ્ત્રીઓ	Indian economists
અર્થશાસ્ત્ર	Economics
અર્થશાસ્ત્રમાં નોબેલ મેળવનારા	Nobel laureates in Economics
૨૦૧૨ દિલ્હી બળાત્કાર ઘટના	2012 Delhi gang rape
Lead too short	Lead too short
બદામ	Almond
નાનજીભાઈ કાલિદાસ મહેતા	Nanji Kalidas Mehta
કાનપુર પ્રાંત	Kanpur division
ઉત્તર પ્રદેશના પ્રાંતો	Divisions of Uttar Pradesh
આગ્રા પ્રાંત	Agra division
અલ્હાબાદ પ્રાંત	Allahabad division
અલીગઢ પ્રાંત	Aligarh division
આઝમગઢ પ્રાંત	Azamgarh division
બરેલી પ્રાંત	Bareilly division
બસ્તી પ્રાંત	Basti division
ચિત્રકૂટ પ્રાંત	Chitrakoot division
દેવીપાટન પ્રાંત	Devipatan division
ફૈજાબાદ પ્રાંત	Faizabad division
ગોરખપુર પ્રાંત	Gorakhpur division
ઝાંસી પ્રાંત	Jhansi division
લખનૌ પ્રાંત	Lucknow division
મેરઠ પ્રાંત	Meerut division
મિર્જાપુર પ્રાંત	Mirzapur division
મુરાદાબાદ પ્રાંત	Moradabad division
સહરાનપુર પ્રાંત	Saharanpur division
વારાણસી પ્રાંત	Varanasi division
કમ્પ્યુટર નેટવર્ક	Computer networks
ચીપકો આંદોલન	Chipko movement
આયોજન પંચ	Planning Commission 
કાસગંજ જિલ્લો	Kasganj district
અમેઠી જિલ્લો	Amethi district
ગૌરીગંજ	Gauriganj, India
નેધરલેંડ	Netherlands
કૃષિ યુનિવર્સિટી, સરદારકૃષિનગર દાંતીવાડા	Sardarkrushinagar Dantiwada Agricultural University
મેટ્રોલિંક એક્સપ્રેસ ગાંધીનગર અને અમદાવાદ	Metro-Link Express for Gandhinagar and Ahmedabad
Country data Iran	Country data Iran
Country data Morocco	Country data Morocco
Country data Syria	Country data Syria
Country data Tunisia	Country data Tunisia
Country data Algeria	Country data Algeria
Country data Cameroon	Country data Cameroon
Country data United Kingdom	Country data United Kingdom
Country data Great Britain	Country data Great Britain
Country data Kingdom of Great Britain	Country data Kingdom of Great Britain
Country data United Kingdom of Great Britain and Ireland	Country data United Kingdom of Great Britain and Ireland
કાજલ ઓઝા-વૈદ્ય	Kaajal Oza Vaidya
Country data Egypt	Country data Egypt
Country data United Arab Republic	Country data United Arab Republic
ઈન્ટરનેટ પ્રોટોકોલ સ્યુટ	Internet protocol suite
Country data Afghanistan	Country data Afghanistan
Country data Armenia	Country data Armenia
Country data Iceland	Country data Iceland
Country data Uzbekistan	Country data Uzbekistan
Country data Albania	Country data Albania
Country data Azerbaijan	Country data Azerbaijan
Country data Ecuador	Country data Ecuador
Country data Oman	Country data Oman
Country data Kazakhstan	Country data Kazakhstan
Country data Kuwait	Country data Kuwait
Country data Colombia	Country data Colombia
Country data Kyrgyzstan	Country data Kyrgyzstan
Country data Guyana	Country data Guyana
Country data British Guiana	Country data British Guiana
Country data Greece	Country data Greece
Country data Ghana	Country data Ghana
Country data Gold Coast	Country data Gold Coast
Country data Chad	Country data Chad
Country data Jordan	Country data Jordan
Country data Georgia	Country data Georgia 
Country data Tanzania	Country data Tanzania
Country data Tanganyika	Country data Tanganyika
Country data Togo	Country data Togo
Country data Zanzibar	Country data Zanzibar
Country data Tajikistan	Country data Tajikistan
Country data Turkmenistan	Country data Turkmenistan
Country data Niger	Country data Niger
Country data Nigeria	Country data Nigeria
Country data Norway	Country data Norway
Country data Kalmar Union	Country data Kalmar Union
Country data Nepal	Country data Nepal
Country data Nagorno-Karabakh Republic	Country data Republic of Artsakh
Country data Peru	Country data Peru
Country data Faroe Islands	Country data Faroe Islands
Country data Finland	Country data Finland
Country data Åland Islands	Country data Åland Islands
Country data Timor-Leste	Country data Timor-Leste
Country data Falkland Islands	Country data Falkland Islands
Country data Bahrain	Country data Bahrain
Country data Benin	Country data Benin
Country data Dahomey	Country data Dahomey
Country data Belarus	Country data Belarus
Country data Bhutan	Country data Bhutan
Country data Macau	Country data Macau
Country data Mongolia	Country data Mongolia
Country data Maldives	Country data Maldives
Country data Malta	Country data Malta
Country data Sovereign Military Order of Malta	Country data Sovereign Military Order of Malta
Country data Madagascar	Country data Madagascar
Country data Monaco	Country data Monaco
Country data Macedonia	Country data Macedonia
Country data Montenegro	Country data Montenegro
Country data Kingdom of Montenegro	Country data Kingdom of Montenegro
Country data Kingdom of Montenegro 	Country data Kingdom of Montenegro 
Country data Principality of Montenegro	Country data Principality of Montenegro
Country data SR Montenegro	Country data SR Montenegro
Country data Moldova	Country data Moldova
Country data Ukraine	Country data Ukraine
Country data Yemen	Country data Yemen
Country data Aden	Country data Aden
Country data North Yemen	Country data North Yemen
Country data South Arabia	Country data South Arabia
Country data South Yemen	Country data South Yemen
Country data Liechtenstein	Country data Liechtenstein
Country data Lebanon	Country data Lebanon
Country data Latvia	Country data Latvia
Country data Lithuania	Country data Lithuania
Country data Vietnam	Country data Vietnam
Country data North Vietnam	Country data North Vietnam
Country data Venezuela	Country data Venezuela
Country data South Vietnam	Country data South Vietnam
Country data Cyprus	Country data Cyprus
Country data Sudan	Country data Sudan
Country data South Sudan	Country data South Sudan
Country data Slovenia	Country data Slovenia
આશ્રમ રોડ	Ashram Road
અમદાવાદ કલેક્ટર	Ahmedabad Collectorate
Es icon	Es icon
અવકાશ વિનિયોગ કેન્દ્ર	Space Applications Centre
હર્ષ બ્રહ્મભટ્ટ	Harsh Brahmbhatt
સાબરમતી મેરેથોન	Sabarmati Marathon
Country data Ethiopia	Country data Ethiopia
Country data Ethiopian Empire	Country data Ethiopian Empire
Infobox athletics race	Infobox athletics race
Country flagbio	Country flagbio
ઇથિયોપિયા	Ethiopia
Contains Ethiopic text	Contains Ethiopic text
Lang-am	Lang-am
Nobold	Nobold
Other uses	Other uses
CatPreceding	Preceding category
CatSucceeding	Succeeding category
Category explanation	Category explanation
Decimals	Decimals
Gadget-wikEd.js	Cacycle/wikEd
ડેરી	Dairy
સદી	Century 
દાયકો	Decade
અશોક દવે	Ashok Dave
કોચરબ આશ્રમ	Kochrab Ashram
Country data Swaziland	Country data Eswatini
દક્ષિણ આફ્રિકા	South Africa
અમદાવાદના દરવાજા	Gates of Ahmedabad
હાપુર	Hapur
નાગાલેંડ પીપલ્સ ફ્રન્ટ/મેટા/રંગ	Nagaland Peoples Front/meta/color
ભારતીય રાષ્ટ્રીય કોંગ્રેસ/મેટા/રંગ	Indian National Congress/meta/color
ભારતીય જનતા પાર્ટી/મેટા/રંગ	Bharatiya Janata Party/meta/color
ભારત રાજનીતિક પક્ષ રંગ ઢાંચો	India political party colour templates
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Indian National Congress
ચર્ચા-પૂરી	Closed
હિમાલયન પાઈકા	Himalayan pika
IPA audio link	IPA audio link
Lang-fr	Lang-fr
Color sample	Color sample
Lang-en	Lang-en
નીતિ	Core content policies
કમલેશ્વર બંધ	Kamleshwar Dam
કીર્તિ મંદિર, પોરબંદર	Kirti Mandir, Porbandar
શીતપેટી	Refrigerator
કિર્તિ મંદિર	Kirti Mandir
સંસ્કાર કેન્દ્ર	Sanskar Kendra
ઇન્દ્રા	Indra, Gujarat
થૉમસ ઍડિસન	Thomas Edison
Requested move	Requested move
Tls	Tls
Requested move/dated	Requested move/dated
માહિતીચોકઠું લેખક	Infobox writer
અનાથ લેખ	Orphaned articles
Lang-mr	Lang-mr
ગાંધાર	Gandhara
દશાંશ સંખ્યા પ્રણાલી	Hindu–Arabic numeral system
Jiggythakor	Jiggythakor
એરન સ્વાર્ટઝ	Aaron Swartz
MahdiBot	MahdiBot
ભારતીય માનક સમય	Indian Standard Time
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પંજાબ	Punjab
પંજાબ 	Punjab 
ચિત્તાગોંગ	Chittagong
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
ઓસ્લો	Oslo
નૉર્વેજિયન ભાષા	Norwegian language
ભારતમાં આરોગ્યસંભાળ	Health in India
મહેન્દ્ર સિંઘ ધોની	MS Dhoni
Infobox museum	Infobox museum
જ્ઞાનપીઠ એવોર્ડ	Jnanpith Award
જાપાનનો ઇતિહાસ	History of Japan
કોરોકોરો ટાપુ	Corocoro Island
જાપાન	Japan
ભાયાવદર	Bhayavadar, Rajkot
લિમ્બો	Limbo 
માર્વલ કૉમિક્સ	Marvel Comics
Infobox folk tale	Infobox folk tale
ફુલરિન 	Fullerene
માયોપીઆ	Near-sightedness
હાઇડ્રોકાર્બન	Hydrocarbon
સમઘટકતા	Isomer
પ્રકાશ	Light
ખગોળીય દૂરબીન	Telescope
ધન પ્રકાશાનુવર્તન	Heliotropism
જલાનુવર્તન	Hydrotropism
પુરુષનું પ્રજનનતંત્ર	Male reproductive system
પિસ્તા	Pistachio
Cite EB1911	Cite EB1911
Use dmy dates	Use dmy dates
રાકેશ શર્મા	Rakesh Sharma
કુશોક બાકુલા રિન્પોચે વિમાનમથક	Kushok Bakula Rimpochee Airport
Infobox astronaut	Infobox astronaut
Nihongo	Nihongo
Dubious	Dubious
Dispute templates	Dispute templates
Inline tags	Inline cleanup tags
Tools	Tools
ડો. હરગોવિંદ ખુરાના	Har Gobind Khorana
ખરીફ પાક	Kharif crop
રવિ પાક	Rabi crop
વર્ડપ્રેસ	WordPress
સિગ પ્રો	SIG Pro
Infobox file format	Infobox file format
Expand section	Expand section
માય ઓપેરા	My Opera
ભારતનો ઇતિહાસ	History of India
ટેનિસ ખેલાડી	Tennis players
MedalBottom	MedalBottom
)	)
Country data Denmark	Country data Denmark
MedalBronze	MedalBronze
MedalCompetition	MedalCompetition
MedalGold	MedalGold
MedalSilver	MedalSilver
MedalSport	MedalSport
MedalTableTop	MedalTableTop
Medal templates documentation	Medal templates documentation
ગૂગલ	Google
ઇન્ડોનેશિયા	Indonesia
વિજયગુપ્ત મૌર્ય	Vijaygupta Maurya
કામ ચાલુ	Under construction
રુદ્રમહાલય 	Rudra Mahalaya Temple
રાયણ	Manilkara hexandra
ઘાબાજરીયુ	Typha angustifolia
બનાસ ડેરી	Banas Dairy
બાઇનૉક્યુલર	Binoculars
ચુંબકીય ટેકરીઓ	Gravity hill
સર્ચ એન્જિનોની યાદી	List of search engines
ફેસબુક	Facebook
લક્ષ્મણ	Lakshmana
શેત્રુંજય	Shatrunjaya
સબમરીન	Submarine
Infobox mountain	Infobox mountain
((	((
))	))
નારિયેળ	Coconut
Wikivoyage	Wikivoyage
જાંબલી શક્કરખરો	Purple sunbird
અણુ	Atom
નારીચાણા 	Narichana
યાહૂ!	Yahoo!
NASDAQ	NASDAQ
0	0
આજનું અવતરણ	QOTD
ટ્યુનિશિયા	Tunisia
કઠોળ	Edible legumes
Lang-zh	Lang-zh
ITIS	ITIS
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	File Transfer Protocol
અભય ભૂષણ	Abhay Bhushan
ચણા	Chickpea
ભદ્રનો કિલ્લો	Bhadra Fort
Infobox military installation	Infobox military installation
Location map Scotland	Location map UK Scotland
નેહા શર્મા	Neha Sharma
Pages with malformed coordinate tags	Pages with malformed coordinate tags
મેક્સિકો	Mexico
મઠ	Vigna aconitifolia
Country data Mexico	Country data Mexico
Country data Aguascalientes	Country data Aguascalientes
Country data Baja California	Country data Baja California
Country data Baja California Sur	Country data Baja California Sur
Country data Campeche	Country data Campeche
Country data Chiapas	Country data Chiapas
Country data Chihuahua	Country data Chihuahua
Country data Coahuila	Country data Coahuila
Country data Colima	Country data Colima
Country data Durango	Country data Durango
Country data Guanajuato	Country data Guanajuato
Country data Guerrero	Country data Guerrero
Country data Hidalgo	Country data Hidalgo
Country data Jalisco	Country data Jalisco
Country data Mexican Federal District	Country data Mexican Federal District
Country data Michoacán	Country data Michoacán
Country data Morelos	Country data Morelos
Country data México 	Country data México 
Country data Nayarit	Country data Nayarit
Country data Nuevo León	Country data Nuevo León
Country data Oaxaca	Country data Oaxaca
Country data Puebla	Country data Puebla
Country data Querétaro	Country data Querétaro
Country data Quintana Roo	Country data Quintana Roo
Country data San Luis Potosí	Country data San Luis Potosí
Country data Sinaloa	Country data Sinaloa
Country data Sonora	Country data Sonora
Country data Tabasco	Country data Tabasco
Country data Tamaulipas	Country data Tamaulipas
Country data Tlaxcala	Country data Tlaxcala
Country data Veracruz	Country data Veracruz
Country data Yucatán	Country data Yucatán
Country data Zacatecas	Country data Zacatecas
કલ્પસર યોજના	Kalpasar Project
મસુર	Lentil
કુંવારપાઠું	Aloe vera
Articles containing potentially dated statements from નવેમ્બર 2012	Articles containing potentially dated statements from November 2012
ચોઘડિયાં	Choghadiya
IP એડ્રેસ	IP address
Anas1712	Anas1712
વાલ	Lablab
કવિતા કૌશિક	Kavita Kaushik
Taxobox name	Taxobox name
1x	1x
પર્સનલ એરિયા નેટવર્ક	Personal area network
લોકલ એરિયા નેટવર્ક	Local area network
ચોળા	Cowpea
હોમ નેટવર્ક	Home network
દૈયડ	Oriental magpie-robin
મોહેં-જો-દડો	Mohenjo-daro
જુવાર	Millet
રવીન્દ્ર પ્રભાત	Ravindra Prabhat
કોલ્ડપ્લે	Coldplay
ધ બિટલ્સ	The Beatles
Infobox airline	Infobox airline
--	Em dash
UF-hcard-org	UF-hcard-org
URL	URL
આઇઆરસીટીસી 	Indian Railway Catering and Tourism Corporation
Lang-kn	Lang-kn
ભારતીય સમ્રાટો	Emperors of India
મોબાઈલ દૂરસંચાર	Mobile telecommunications
Caution	Caution
માર્કેટિંગ	Marketing
જહાજના પ્રકારો	Ship types
Infobox philosopher	Infobox philosopher
રંગ	Color
Infobox government agency	Infobox government agency
વાઈડ એરિયા નેટવર્ક	Wide area network
નર્મદા કેનાલ ટોપ સોલાર પાવર પ્રોજેક્ટ	Canal Solar Power Project
બેકબોન નેટવર્ક	Backbone network
સીતાફળ	Annona squamosa
કેમ્પર્સ નેટવર્ક	Campus network
મેટ્રોપોલિટન એરિયા નેટવર્ક	Metropolitan area network
રસીકરણ	Vaccination
રતાળુ	Dioscorea alata
Mala chaubey	Mala chaubey
IPv4	IPv4
ગુજરાત રાજ્ય રોડ પરિવહન કોર્પોરેશન	Gujarat State Road Transport Corporation
મધર ઇન્ડિયા	Mother India
રૂબિન ડેવિડ	Reuben David
એસ્થર ડેવિડ	Esther David
૨૦૦૨ ગુજરાત હિંસા	2002 Gujarat riots
Infobox civil conflict	Infobox civil conflict
Coordinates	Coordinates
Math	Math
United Kingdom city infobox templates	United Kingdom city infobox templates
કૃષિ યુનિવર્સિટી, જૂનાગઢ	Junagadh Agricultural University
શબ્દસૃષ્ટિ	Shabdasrishti
હરિવંશરાય બચ્ચન	Harivansh Rai Bachchan
Aladdin Ali Baba	Aladdin Ali Baba
અશોક 	Saraca asoca
ફિબોનાકિ	Fibonacci number
Lang-fa	Lang-fa
Lang-ta	Lang-ta
تفکر	تفکر
ફિફા ખેલાડી	FIFA player
વી. ઓ. ચિદમ્બરમ પિલ્લઈ	V. O. Chidambaram Pillai
ભારતનું બંધારણ	Constitution of India
મેરી કોમ	Mary Kom
ટ્રાન્સપોર્ટ ફોર લંડન	Transport for London
તુંગનાથ	Tungnath
અલ્હાબાદના લોકો	People from Allahabad
૧૯૧૦	1910
En icon	En icon
સુગ્રીવ	Sugriva
કબીર બીજક	Bijak
બોર	Jujube
દેશ માહિતી બોલીવિયા	Country data Bolivia
દેશ માહિતી પૅરાગ્વે	Country data Paraguay
દેશ માહિતી સુરીનામ	Country data Suriname
દેશ માહિતી Dutch Guiana	Country data Dutch Guiana
Country data Panama	Country data Panama
રાજકોટ બીઆરટીએસ	Rajkot Bus Rapid Transit System
Country data Bolivia	Country data Bolivia
આશા પારેખ	Asha Parekh
મરિઉપોલ	Mariupol
Lasius	Lasius
પ્રિયામણિ	Priyamani
શાહ અબ્દુલ લતીફ ભીતાઈ	Shah Abdul Latif Bhittai
જબ તક હૈ જાન	Jab Tak Hai Jaan
કરીના કપૂર	Kareena Kapoor
નસ્લી વાડિયા	Nusli Wadia
પૂજ્ય શ્રી મોટા	Pujya Mota
બન્ની	Banni Grasslands Reserve
Navbar-collapsible	Navbar-collapsible
નિયમ	Niyama
નેપોલિયન હિલ	Napoleon Hill
મરિયમ ઝીણા	Rattanbai Jinnah
Navbox	Navbox
Navbox	Navbox
HtmlBuilder	HtmlBuilder
Navbar	Navbar
String	String
ફતેહગઢ 	Fatehgadh
ગાગોદર 	Gagodar
ગેડી 	Gedi, Kutch
વિનોદી સંપાદકનો બાર્નસ્ટાર	The Barnstar of Good Humor
વરણું 	Varnu
પલાંસવા 	Palanswa
ડોમેન નામ પ્રણાલી	Domain Name System
ભારતીય વાયુસેના	Indian Air Force
મધુપ્રમેહ	Diabetes
Location map India Andhra Pradesh	Location map India Andhra Pradesh
યુનિટ ૭૩૧	Unit 731
મરકી	Plague 
હડકવા	Rabies
શિવલીંગી 	Couroupita guianensis
ખેરખટ્ટો	Rufous treepie
મહાવીર જયંતી	Mahavir Jayanti
કળથી	Macrotyloma uniflorum
હીરાકુડ બંધ	Hirakud Dam
પ્રાણ 	Pran 
બજાતે રહો	Bajatey Raho
આઈવાના બ્રલિચ માઝુરાનિચ	Ivana Brlić-Mažuranić
ભાગ મિલ્ખા ભાગ	Bhaag Milkha Bhaag
Track listing	Track listing
જગતસિંઘજી મહારાજ	Jagat Singh
સુભાનપુરા, વડોદરા	Subhanpura
નંદ પ્રયાગ	Nandaprayag
અશેળિયો	Garden cress
કર્ણ પ્રયાગ	Karnaprayag
ભારતની ગુફાઓ	Caves of India
હુગલી નદી	Hooghly River
ઉત્તર પ્રદેશના જિલ્લાઓ	Districts of Uttar Pradesh
Country data Burkina Faso	Country data Burkina Faso
Country data Somalia	Country data Somalia
Country data Somaliland	Country data Somaliland
Country data Uganda	Country data Uganda
તલ	Sesame
રાયડો	Brassica juncea
પંચામૃત	Panchamrita
સામાન્ય જ્ઞાન	General knowledge
ટિંડોળી	Coccinia grandis
વિંછી 	Scorpion
બાસ્કેટબોલ 	Basketball
ક્ષય રોગ	Tuberculosis
કપૂર	Camphor
સોલંકી વંશ	Chaulukya dynasty
પન્ના ધાઈ	Panna Dai
ઉધઈ	Termite
નૌરુ	Nauru
મેલાટોનિન	Melatonin
તોરણમાળ	Toranmal
સામ પિત્રોડા	Sam Pitroda
તવા નદી	Tawa River
ખીરભવાની મંદિર	Kheer Bhawani
સિક્કા 	Sikka, India
બાતુ ગુફાઓ 	Batu Caves
સિપાહી બુલબુલ	Red-whiskered bulbul
મુનિ કી રેતી	Muni Ki Reti
કંસારો 	Coppersmith barbet
પેટ્રોનાસ જોડિયા ટાવર	Petronas Towers
ગુલઝારીલાલ નંદા	Gulzarilal Nanda
રેડિયો સ્ટુડિયો 54 નેટવર્કના	Radio Studio 54 Network
સામો	Echinochloa colona
તારા માછલી	Starfish
Citation/CS1	Citation/CS1
Citation/CS1/Configuration	Citation/CS1/Configuration
Citation/CS1/Whitelist	Citation/CS1/Whitelist
દેવભૂમિ દ્વારકા જિલ્લો	Devbhumi Dwarka district
કોદરા	Paspalum scrobiculatum
અંબાડી 	Howdah
લાપસી	Kansar
Convert	Convert
Convert/text	Convert/text
Convert/data	Convert/data
બ્રેમ્પ્ટન, ઓન્ટારીયો	Brampton
ખાખરા	Khakhra
પંચ પ્રયાગ	Panch Prayag
હળદર	Turmeric
અટલ બિહારી વાજપેયી	Atal Bihari Vajpayee
Babel	Babel
જીમ કોર્બેટ	Jim Corbett
Who	Who
Namespace detect	Namespace detect
માંકેવી વયંસેવ	Agnez Mo
શમીમ દેવ આઝાદ	Shameem Dev Azad
સિંધવ	Halite
મુંબઈ શહેરી જિલ્લો	Mumbai City district
લવિંગ	Clove
હરીયલ	Yellow-footed green pigeon
કપોત કુળ	Columbidae
જીમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન	Jim Corbett National Park
ઘંટી	Millstone
Facebook	Facebook
હરીત કપોત પ્રજાતિ	Green pigeon
નાશ પામેલા કપોત	Raphinae
મરાઠી	Marathi
વર્ગીકૃતનામકરણ 	Taxonomy 
બાજ 	Northern goshawk
ઇલાયચી	Cardamom
Clade	Clade
કોકિલાકાર	Chestnut-breasted malkoha
કુર્કુટાકાર	Galliformes
બહુસમુદાયીત્વ	Polyphyly
Geological range	Geological range
;	;
Anglicise rank	Anglicise rank
Fossil range/marker	Fossil range/marker
થાનગઢ 	Thangadh
બાદિયાન	Illicium verum
જય હિન્દ	Jai Hind 
દગડ ફૂલ	Parmotrema perlatum
ગુજરાતી સામયિકો	List of Gujarati-language magazines
રંગાવલી	Palette 
સામયિક	Magazines
પિંક ફ્લોઇડ	Pink Floyd
એલચો	Black cardamom
કોકમ	Garcinia indica
ગાયકવાડ રાજવંશ	Gaekwad dynasty
નવદુર્ગા	Navadurga
કદંબ	Neolamarckia cadamba
Biography with signature	Biography with signature
ચન્દ્રઘંટા	Chandraghanta
કૂષ્માંડા	Kushmanda
સ્કન્દમાતા	Skandamata
કાત્યાયની	Kātyāyanī
કાલરાત્રિ	Kalaratri
મહાગૌરી	Mahagauri
સિદ્ધિદાત્રી	Siddhidhatri
સી. રાજગોપાલાચારી	C. Rajagopalachari
ભગવાન દાસ	Bhagwan Das
ભીમસેન જોશી	Bhimsen Joshi
Lua	Lua
Gallery	Gallery
Multiple image	Multiple image
ISO 639 name	ISO 639 name
દેલવાડા	Dilwara Temples
બાલારામ અંબાજી વન્યજીવ અભયારણ્ય	Balaram Ambaji Wildlife Sanctuary
InfoboxImage	InfoboxImage
જાંબુ 	Syzygium cumini
Infobox protected area	Infobox protected area
Location map Canada Alberta	Location map Canada Alberta
Infobox	Infobox
પાદરી 	Kerala-no-dhoro
ચમારડી 	Chamardi
ભોજાવદર 	Bhojavadar
બોચડવા 	Bochadva
ચોગઠ  	Chogath
ધોળા ગોદડજી 	Dhola, Gujarat
બગદાણા 	Bagdana
ભાદ્રોડ 	Bhadrod
અમરગઢ 	Amargadh
અધેવાડા 	Adhewada
ભંડારીયા 	Bhandaria, Bhavnagar
ભુંભલી 	Bhumbhali
પાળીયાદ 	Paliyad
આયાવેજ 	Aayavej
ચોક 	Chok, Gujarat
